Feature,Importance
Fasting_Blood_Glucose,0.37710574
HbA1c,0.23050582
Waist_Circumference,0.080129094
BMI,0.06840252
Cholesterol_LDL,0.041624002
Blood_Pressure_Systolic,0.033018578
Dietary_Intake_Calories,0.018778894
Serum_Urate,0.018439248
Ethnicity,0.017007668
Physical_Activity_Level,0.015273687
Previous_Gestational_Diabetes,0.014846208
Cholesterol_Total,0.014394197
GGT,0.01228972
Alcohol_Consumption,0.01128214
Blood_Pressure_Diastolic,0.011280831
Cholesterol_HDL,0.011092568
Age,0.009128181
Family_History_of_Diabetes,0.008030017
Smoking_Status,0.0052818498
Sex,0.0020889957
