Feature,Importance,Std
Fasting_Blood_Glucose,0.34740518962075845,0.009430477645901403
HbA1c,0.21447105788423154,0.0068775437740599046
Waist_Circumference,0.04530938123752491,0.0057017392643056684
BMI,0.044111776447105754,0.00634027152665412
Blood_Pressure_Systolic,0.016566866267465043,0.00282982971631894
Cholesterol_LDL,0.01536926147704588,0.0044453208485669
Serum_Urate,0.0024950099800398863,0.001906683949555165
Age,0.0012974051896206928,0.0008982035928143667
Cholesterol_HDL,0.0008982035928143173,0.0009415150830395625
Alcohol_Consumption,0.0005988023952095301,0.0004889201083399143
Dietary_Intake_Calories,0.0003992015968063534,0.0012780687100664237
GGT,0.00039920159680632004,0.0009146857674562288
Sex,0.0,0.0
Family_History_of_Diabetes,0.0,0.0
Previous_Gestational_Diabetes,0.0,0.0
Smoking_Status,-0.00019960079840321,0.0005988023952095744
Physical_Activity_Level,-0.0003992015968063978,0.0004889201083399686
Ethnicity,-0.0004990019960079972,0.0006694814303891762
Cholesterol_Total,-0.0009980039920160055,0.0010932585978147115
Blood_Pressure_Diastolic,-0.0012974051896208038,0.0011850640805427162
